Marca,RENAULT,SEAT,VOLKSWAGEN,PEUGEOT,CITROEN,OPEL,FORD,MERCEDES,TOYOTA,AUDI,BMW,NISSAN,HYUNDAI,KIA,FIAT,DACIA,SKODA,VOLVO,MAZDA,SUZUKI,MITSUBISHI,HONDA,LAND ROVER,MINI,CHEVROLET,JEEP,ALFA ROMEO,SSANGYONG,LEXUS,SMART,PORSCHE,CHRYSLER,JAGUAR,DAEWOO,ROVER,LANCIA,SUBARU,SAAB,GALLOPER,DS,CUPRA,SANTANA,LADA,TESLA,DODGE,INFINITI,TATA,MG,ISUZU,DAIHATSU,TALBOT,MASERATI,AUSTIN,FERRARI,OTRAS MARCAS,LYNK&CO,CADILLAC,PONTIAC,BENTLEY,MAHINDRA,ROLLS ROYCE,HUMMER,ASTON MARTIN,MORRIS,ASIA MOTORS,DR,BERTONE,TRIUMPH,DFSK,WARTBURG,QUATTRO,LAMBORGHINI,POLONEZ,LOTUS,MORGAN,LINCOLN,ARO,BUICK,ZASTAVA,UMM,ALPINE,AUTOBIANCHI,OLDSMOBILE,MARTORELLI,POLESTAR,MERCURY,PLYMOUTH,MOSKVICK,CARBODIES,LANDWIND,DALLAS,AIWAYS,IVECO,GMC,MCLAREN,INNOCENTI,GEO,SWM,EVO,CATERHAM,PANTHER,MAXUS,THINK,UROVESA,MOBILIZE,ZHIDOU,SATURN,EAGLE,AMC,KTM,MATRA,TVR,JAC,PGO AUTOMOVIL,EXCALIBUR,FISKER,PROTON,SCION,APAL,BYD,COMARTH,MPM,FSM,HILLMAN,SUNBEAM,SECMA,GARBI,PILGRIM,BUGATTI,LEVC,PEGASO,RAYTON FIS,WIESMANN,DAX,NSU,RUSH,GREEN TOUR,HURTAN,SPYKER,BORGWARD,DELAHAYE,DELOREAN,HISPANO SUIZA,HOTCHKISS,RADICAL,AUVERLAND,DE TOMASO,DONKERVOORT,ECHARRI,HAIMA,JIANGNAN,PANHARD,QOROS,TRAMONTANA,VANDEN PLAS,VM COMPETICION,JENSEN
2022,2185843,2158958,2084234,2050497,1872446,1754272,1753114,1279545,1217399,1170561,1104996,978806,837228,726356,554646,486343,377324,297052,275298,271326,269015,264979,194486,187232,165952,139472,107154,85088,82010,75268,66829,62503,60439,57029,54335,38536,36365,35929,29434,29321,24390,16491,15341,12846,10898,9897,9533,7643,5893,5075,4776,4304,3770,3758,3365,3327,2835,2221,2139,1457,1399,1277,1160,1005,762,762,730,690,659,605,590,567,482,477,448,447,390,380,357,287,285,237,230,194,190,179,168,154,143,138,122,118,106,105,101,99,96,80,70,61,50,46,45,43,41,39,31,28,26,25,19,19,18,17,16,16,14,13,12,12,12,12,8,8,8,7,6,6,5,5,5,5,5,4,4,4,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,0
2021,2208868,2163180,2045295,2053160,1888739,1784686,1774441,1246597,1154630,1146615,1080186,976724,791577,670422,547850,450852,361586,289631,266088,270477,269005,266175,192516,177550,170253,132353,108324,84011,77815,75576,63270,65861,60164,62957,58658,39898,35527,37534,30558,25050,11720,16784,15747,8078,11046,9810,10414,753,6057,5234,4865,3894,3828,3707,3395,527,2868,2249,2044,1472,1388,1280,1112,979,766,258,745,682,466,609,600,536,489,460,446,447,392,378,356,292,225,245,231,195,0,180,166,156,142,141,121,6,107,107,102,99,96,22,6,60,49,1,51,43,0,11,32,28,26,28,19,20,11,17,16,14,14,14,11,7,12,12,8,7,8,7,6,5,3,2,5,5,5,4,4,4,2,1,3,2,2,0,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
2020,2245588,2156904,2011284,2056085,1912201,1822558,1806024,1218162,1104492,1126431,1052099,970645,750179,622217,552764,416653,345670,279623,255941,269058,268748,268183,190091,168468,174649,125787,111129,82626,72424,75241,59731,69563,59209,70386,63781,41463,34293,39321,31945,21268,931,17140,16260,4720,11174,9739,11468,7,6248,5395,4922,3593,3901,3641,3371,0,2900,2267,1961,1462,1374,1271,1089,959,772,242,771,673,198,610,617,481,491,442,445,445,399,368,361,298,191,254,233,197,0,182,169,160,141,149,121,0,109,106,93,101,96,0,0,58,49,0,60,43,0,0,33,27,26,25,19,21,1,16,13,9,14,14,10,5,12,12,9,7,8,8,6,4,2,0,5,6,5,3,4,4,0,1,3,2,2,0,2,2,2,1,1,0,1,0,0,1,0,1,1,0,2
2019,2279247,2156792,1981329,2065061,1941927,1868305,1833998,1180192,1059084,1103801,1025832,964547,721450,583283,562237,379483,333579,269752,245301,268236,267077,268843,185704,160058,178594,120134,113027,81770,65399,75082,56459,72846,57721,78149,69411,43024,33030,40960,32605,17590,1044,17417,16669,3147,11242,9581,12477,8,6409,5566,4933,3357,3925,3572,3305,0,2919,2276,1875,1460,1363,1272,1069,936,777,141,784,661,80,613,620,417,496,431,442,445,402,368,362,305,179,256,232,198,0,180,169,163,138,151,121,0,109,106,78,101,97,0,0,57,49,0,61,43,0,0,33,28,26,21,19,21,0,15,13,9,15,15,10,11,12,12,9,7,8,8,6,0,2,0,5,6,5,3,4,4,0,1,3,2,2,0,2,2,2,1,1,0,1,0,0,1,0,1,1,0,2
2018,2296942,2126075,1926883,2048338,1956379,1888357,1849412,1127523,1000126,1066899,986791,939014,677074,532451,558197,328006,314982,258325,226012,264583,257446,267024,180551,146987,182463,109940,115076,79706,57051,71981,52540,76690,54431,87701,76645,45002,30886,42832,33335,13736,252,17740,17158,965,11319,8126,13691,7,6654,5729,4975,2998,3964,3457,3293,0,2922,2301,1782,1401,1342,1261,1034,893,785,6,806,645,11,614,617,343,502,416,434,442,406,363,366,311,136,261,230,199,0,178,170,165,133,161,121,0,109,107,46,100,98,0,0,55,49,0,62,44,0,0,34,30,29,18,19,19,0,16,13,0,15,21,10,15,11,3,9,7,8,7,6,0,2,0,5,6,5,3,4,4,0,1,3,1,2,0,2,2,1,1,1,0,1,0,0,1,0,1,1,0,2
2017,2308163,2097478,1862417,2024686,1962001,1896513,1859427,1075555,941359,1023818,945587,905616,630910,472317,546198,278514,296162,247116,208066,260730,249097,264269,174195,134683,185520,99718,116236,77109,49745,67212,49091,80497,50058,97744,84751,47336,28083,44658,33043,10025,0,18186,17754,530,11374,6213,14859,7,6801,5882,5577,2563,4046,3358,3106,0,2924,2319,1709,1263,1328,1260,1004,990,786,0,827,632,10,615,615,312,502,402,423,440,411,363,369,316,107,282,231,204,0,177,170,166,133,162,122,0,109,108,32,106,100,0,0,55,48,0,64,44,0,0,35,31,27,16,21,17,0,16,13,7,15,16,10,21,12,0,9,7,9,7,6,0,3,0,5,6,5,3,4,4,0,1,3,1,2,0,2,2,2,0,1,0,1,0,0,1,0,1,1,0,2
2016,2296715,2068334,1800235,1997070,1956915,1886722,1857779,1021805,884939,975904,903006,867011,590232,419818,528738,233369,280249,237742,192024,256242,242632,260595,166080,122692,187831,94680,115731,73898,43794,62825,45904,83615,46564,106854,92771,49363,26111,46080,33793,6898,0,18591,18381,113,11403,4341,15997,8,7009,6046,5770,2093,4108,3256,3017,0,2918,2357,1620,1135,1314,1252,976,986,793,0,842,624,10,618,625,282,508,378,418,434,418,363,374,319,104,293,231,206,0,179,171,167,133,162,123,0,110,107,24,109,101,0,0,53,48,0,67,46,0,0,35,31,28,16,21,18,0,17,13,5,16,15,10,22,12,0,9,7,9,7,6,0,3,0,5,6,5,3,4,3,0,1,3,1,2,0,2,2,1,0,1,0,1,0,0,1,0,1,1,0,2
2015,2295024,2055335,1742280,1974996,1954655,1873580,1860157,974249,839176,932993,865398,834038,553481,372227,515746,189650,264976,228505,176252,253863,236770,255825,157476,111569,189723,90659,115949,70639,38370,57585,43120,86630,42951,116102,101366,51237,24316,47377,34562,2867,0,18975,19071,43,11438,3052,16964,8,7213,6227,5981,1777,4180,3156,2920,0,2915,2385,1530,1040,1312,1250,941,980,801,0,871,617,10,624,627,257,520,369,417,432,426,359,386,323,104,314,230,209,0,181,173,168,134,162,126,0,112,108,19,111,128,0,0,53,48,0,83,46,0,0,36,38,28,14,21,18,0,17,13,4,19,12,6,21,12,0,9,7,9,7,6,0,3,0,5,7,7,2,4,3,0,1,3,1,2,0,2,2,1,0,1,0,1,0,0,1,0,1,1,0,2
2014,2316365,2050479,1691249,1969275,1963722,1881527,1869138,936136,800471,900233,838944,805698,524478,333184,514118,145108,251826,223095,163543,254287,232045,253394,150262,102687,191211,87315,116981,67949,33880,53368,40574,89918,41289,127004,111498,53121,22795,48921,35474,0,0,19427,19871,27,11463,2503,17960,8,7448,6430,6381,1546,4255,3073,2772,0,2902,2444,1457,959,1295,1250,910,977,812,0,903,603,10,632,638,240,528,360,418,427,433,355,399,333,98,322,229,212,0,183,177,169,130,161,127,0,115,107,15,114,131,0,0,50,48,0,92,46,0,0,39,41,28,12,21,17,0,16,13,3,20,10,6,22,12,0,9,7,9,5,7,0,3,0,5,8,7,2,4,3,0,0,5,1,2,0,2,2,1,0,1,0,1,0,0,1,0,1,1,0,2
2013,2353849,2062413,1658256,1982389,1982889,1905482,1889735,911480,769206,878431,822846,793018,504371,307854,518898,109128,241479,220934,156234,256433,231110,251934,144705,96823,190128,87283,118266,66251,30900,51618,38840,93667,40420,138307,122693,54192,21816,50584,37188,0,0,19998,21134,5,11485,2012,18741,7,7779,6693,7048,1371,4466,2998,2638,0,2903,2514,1389,923,1280,1241,879,983,835,0,937,585,7,671,638,221,543,355,416,421,455,349,414,347,93,356,230,227,0,184,187,175,126,161,128,0,116,108,13,118,133,0,0,47,49,0,93,44,0,0,37,41,29,11,23,17,0,16,14,2,23,7,6,14,10,0,9,7,8,5,7,0,2,0,5,9,8,2,4,3,0,0,1,1,2,0,2,2,0,0,2,0,1,0,0,1,0,1,1,0,2
