Marca,RENAULT,SEAT,VOLKSWAGEN,PEUGEOT,CITROEN,FORD,OPEL,MERCEDES,TOYOTA,AUDI,BMW,NISSAN,HYUNDAI,KIA,FIAT,DACIA,SKODA,VOLVO,MAZDA,SUZUKI,MITSUBISHI,HONDA,MINI,LAND ROVER,CHEVROLET,JEEP,ALFA ROMEO,LEXUS,SSANGYONG,SMART,PORSCHE,JAGUAR,CHRYSLER,DAEWOO,ROVER,CUPRA,SUBARU,LANCIA,MG,SAAB,DS,GALLOPER,TESLA,SANTANA,LADA,DODGE,INFINITI,TATA,ABARTH,LYNK&CO,ISUZU,DAIHATSU,MASERATI,TALBOT,FERRARI,DR,AUSTIN,OTRAS MARCAS,CADILLAC,BENTLEY,PONTIAC,MAHINDRA,ROLLS ROYCE,HUMMER,ASTON MARTIN,MORRIS,DFSK,POLESTAR,ASIA MOTORS,BERTONE,TRIUMPH,SWM,BYD,LAMBORGHINI,QUATTRO,WARTBURG,LOTUS,LINCOLN,MORGAN,POLONEZ,ARO,BUICK,ALPINE,ZASTAVA,UMM,AUTOBIANCHI,OLDSMOBILE,EVO,MARTORELLI,AIWAYS,OMODA,MERCURY,CARBODIES,PLYMOUTH,MOSKVICK,LANDWIND,DALLAS,MCLAREN,IVECO,GMC,INNOCENTI,INEOS,GEO,CATERHAM,ZHIDOU,MAXUS,PANTHER,THINK,UROVESA,MOBILIZE,EAGLE,SATURN,KTM,AMC,PGO AUTOMOVIL,TVR,FISKER,JAC,EXCALIBUR,MATRA,APAL,GARBI,COMARTH,MPM,SCION,HILLMAN,PROTON,FSM,SECMA,BUGATTI,LEVC,PILGRIM,SUNBEAM,HAIMA,HURTAN,PEGASO,RAYTON FIS,WIESMANN,DAX,DELOREAN,HISPANO SUIZA,NSU,RUSH,VOISIN,WESTFIELD,YUDO,BISCUTER,BORGWARD,GREEN TOUR,SPYKER,CHERY,DELAHAYE,HOTCHKISS,MW MOTORS,PACKARD,RADICAL,STUDEBAKER,VM COMPETICION,VOYAH,AUVERLAND,BAIC,DE TOMASO,DONKERVOORT,ECHARRI,ESSEX,HONGQI,JENSEN,JIANGNAN,PANHARD,QOROS,SKYWELL,TRAMONTANA,VANDEN PLAS,WOLSELEY,XPENG
2023,2167028,2158331,2122265,2041679,1847467,1731269,1721381,1315857,1285251,1198361,1130429,987841,883147,784209,548919,532820,401321,307446,287810,272945,269598,263121,196931,196032,161322,147588,105001,88809,85799,75514,71047,60333,59084,51774,50281,42564,37976,36804,36660,34203,32841,28388,26365,16181,14556,10752,9966,8774,8380,7186,5708,4934,4790,4047,3812,3418,3412,3341,2793,2256,2149,1433,1392,1273,1216,1032,1022,849,748,712,686,665,641,622,586,513,490,452,450,424,370,360,329,326,282,214,210,208,189,179,173,162,146,146,136,127,119,106,103,97,94,91,90,61,59,51,50,43,43,41,28,27,25,22,19,18,17,17,16,15,14,13,12,12,12,9,9,8,7,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2022,2185843,2158958,2084234,2050497,1872446,1753114,1754272,1279545,1217399,1170561,1104996,978806,837228,726356,554646,486343,377324,297052,275298,271326,269015,264979,187232,194486,165952,139472,107154,82010,85088,75268,66829,60439,62503,57029,54335,24390,36365,38536,7643,35929,29321,29434,12846,16491,15341,10898,9897,9533,0,3327,5893,5075,4304,4776,3758,762,3770,3365,2835,2139,2221,1457,1399,1277,1160,1005,659,190,762,730,690,80,12,567,590,605,477,447,448,482,390,380,285,357,287,237,230,70,194,118,0,179,143,168,154,138,122,101,106,105,99,0,96,61,39,46,50,45,43,41,28,31,25,26,17,19,16,18,16,19,12,6,12,12,13,8,14,8,7,5,5,6,8,1,3,5,5,5,4,2,2,4,4,0,0,0,0,2,3,3,0,2,2,0,0,2,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,0
2021,2208868,2163180,2045295,2053160,1888739,1774441,1784686,1246597,1154630,1146615,1080186,976724,791577,670422,547850,450852,361586,289631,266088,270477,269005,266175,177550,192516,170253,132353,108324,77815,84011,75576,63270,60164,65861,62957,58658,11720,35527,39898,753,37534,25050,30558,8078,16784,15747,11046,9810,10414,0,527,6057,5234,3894,4865,3707,258,3828,3395,2868,2044,2249,1472,1388,1280,1112,979,466,0,766,745,682,22,7,536,600,609,460,447,446,489,392,378,225,356,292,245,231,6,195,6,0,180,142,166,156,141,121,102,107,107,99,0,96,60,11,1,49,51,43,0,28,32,28,26,17,20,14,11,16,19,11,6,12,12,14,7,14,8,7,3,2,5,8,1,1,5,5,5,4,0,2,4,4,0,0,0,0,2,2,3,0,2,2,0,0,2,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1,0,0
2020,2245588,2156904,2011284,2056085,1912201,1806024,1822558,1218162,1104492,1126431,1052099,970645,750179,622217,552764,416653,345670,279623,255941,269058,268748,268183,168468,190091,174649,125787,111129,72424,82626,75241,59731,59209,69563,70386,63781,931,34293,41463,7,39321,21268,31945,4720,17140,16260,11174,9739,11468,0,0,6248,5395,3593,4922,3641,242,3901,3371,2900,1961,2267,1462,1374,1271,1089,959,198,0,772,771,673,0,5,481,617,610,442,445,445,491,399,368,191,361,298,254,233,0,197,0,0,182,141,169,160,149,121,93,109,106,101,0,96,58,0,0,49,60,43,0,27,33,25,26,16,21,9,1,13,19,10,6,12,12,14,7,14,9,8,2,0,4,8,0,1,5,6,5,3,0,2,4,4,0,0,0,0,2,0,3,0,2,2,0,0,2,0,0,0,1,0,1,0,1,0,0,2,0,1,0,0,1,1,0,0
2019,2279247,2156792,1981329,2065061,1941927,1833998,1868305,1180192,1059084,1103801,1025832,964547,721450,583283,562237,379483,333579,269752,245301,268236,267077,268843,160058,185704,178594,120134,113027,65399,81770,75082,56459,57721,72846,78149,69411,1044,33030,43024,8,40960,17590,32605,3147,17417,16669,11242,9581,12477,0,0,6409,5566,3357,4933,3572,141,3925,3305,2919,1875,2276,1460,1363,1272,1069,936,80,0,777,784,661,0,11,417,620,613,431,445,442,496,402,368,179,362,305,256,232,0,198,0,0,180,138,169,163,151,121,78,109,106,101,0,97,57,0,0,49,61,43,0,28,33,21,26,15,21,9,0,13,19,10,6,12,12,15,7,15,9,8,2,0,0,8,0,1,5,6,5,3,0,2,4,4,0,0,0,0,2,0,3,0,2,2,0,0,2,0,0,0,1,0,1,0,1,0,0,2,0,1,0,0,1,1,0,0
2018,2296942,2126075,1926883,2048338,1956379,1849412,1888357,1127523,1000126,1066899,986791,939014,677074,532451,558197,328006,314982,258325,226012,264583,257446,267024,146987,180551,182463,109940,115076,57051,79706,71981,52540,54431,76690,87701,76645,252,30886,45002,7,42832,13736,33335,965,17740,17158,11319,8126,13691,0,0,6654,5729,2998,4975,3457,6,3964,3293,2922,1782,2301,1401,1342,1261,1034,893,11,0,785,806,645,0,15,343,617,614,416,442,434,502,406,363,136,366,311,261,230,0,199,0,0,178,133,170,165,161,121,46,109,107,100,0,98,55,0,0,49,62,44,0,30,34,18,29,16,19,0,0,13,19,10,6,11,3,21,7,15,9,7,2,0,0,8,0,1,5,6,5,3,0,2,4,4,0,0,0,0,1,0,3,0,2,2,0,0,1,0,0,0,1,0,1,0,1,0,0,2,0,1,0,0,1,1,0,0
2017,2308163,2097478,1862417,2024686,1962001,1859427,1896513,1075555,941359,1023818,945587,905616,630910,472317,546198,278514,296162,247116,208066,260730,249097,264269,134683,174195,185520,99718,116236,49745,77109,67212,49091,50058,80497,97744,84751,0,28083,47336,7,44658,10025,33043,530,18186,17754,11374,6213,14859,0,0,6801,5882,2563,5577,3358,0,4046,3106,2924,1709,2319,1263,1328,1260,1004,990,10,0,786,827,632,0,21,312,615,615,402,440,423,502,411,363,107,369,316,282,231,0,204,0,0,177,133,170,166,162,122,32,109,108,106,0,100,55,0,0,48,64,44,0,31,35,16,27,16,17,7,0,13,21,10,6,12,0,16,7,15,9,7,3,0,0,9,0,1,5,6,5,3,0,2,4,4,0,0,0,0,1,0,3,0,2,2,0,0,2,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,1,1,0,0
2016,2296715,2068334,1800235,1997070,1956915,1857779,1886722,1021805,884939,975904,903006,867011,590232,419818,528738,233369,280249,237742,192024,256242,242632,260595,122692,166080,187831,94680,115731,43794,73898,62825,45904,46564,83615,106854,92771,0,26111,49363,8,46080,6898,33793,113,18591,18381,11403,4341,15997,0,0,7009,6046,2093,5770,3256,0,4108,3017,2918,1620,2357,1135,1314,1252,976,986,10,0,793,842,624,0,22,282,625,618,378,434,418,508,418,363,104,374,319,293,231,0,206,0,0,179,133,171,167,162,123,24,110,107,109,0,101,53,0,0,48,67,46,0,31,35,16,28,17,18,5,0,13,21,10,6,12,0,15,7,16,9,7,3,0,0,9,0,1,5,6,5,3,0,2,4,3,0,0,0,0,1,0,3,0,2,2,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,1,1,0,0
2015,2295024,2055335,1742280,1974996,1954655,1860157,1873580,974249,839176,932993,865398,834038,553481,372227,515746,189650,264976,228505,176252,253863,236770,255825,111569,157476,189723,90659,115949,38370,70639,57585,43120,42951,86630,116102,101366,0,24316,51237,8,47377,2867,34562,43,18975,19071,11438,3052,16964,0,0,7213,6227,1777,5981,3156,0,4180,2920,2915,1530,2385,1040,1312,1250,941,980,10,0,801,871,617,0,21,257,627,624,369,432,417,520,426,359,104,386,323,314,230,0,209,0,0,181,134,173,168,162,126,19,112,108,111,0,128,53,0,0,48,83,46,0,38,36,14,28,17,18,4,0,13,21,6,6,12,0,12,7,19,9,7,3,0,0,9,0,1,5,7,7,2,0,2,4,3,0,0,0,0,1,0,3,0,2,2,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,1,1,0,0
2014,2316365,2050479,1691249,1969275,1963722,1869138,1881527,936136,800471,900233,838944,805698,524478,333184,514118,145108,251826,223095,163543,254287,232045,253394,102687,150262,191211,87315,116981,33880,67949,53368,40574,41289,89918,127004,111498,0,22795,53121,8,48921,0,35474,27,19427,19871,11463,2503,17960,0,0,7448,6430,1546,6381,3073,0,4255,2772,2902,1457,2444,959,1295,1250,910,977,10,0,812,903,603,0,22,240,638,632,360,427,418,528,433,355,98,399,333,322,229,0,212,0,0,183,130,177,169,161,127,15,115,107,114,0,131,50,0,0,48,92,46,0,41,39,12,28,16,17,3,0,13,21,6,7,12,0,10,7,20,9,5,3,0,0,9,0,0,5,8,7,2,0,2,4,3,0,0,0,0,1,0,5,0,2,2,0,0,1,0,0,0,0,0,1,0,1,0,0,2,0,1,0,0,1,1,0,0
2013,2353849,2062413,1658256,1982389,1982889,1889735,1905482,911480,769206,878431,822846,793018,504371,307854,518898,109128,241479,220934,156234,256433,231110,251934,96823,144705,190128,87283,118266,30900,66251,51618,38840,40420,93667,138307,122693,0,21816,54192,7,50584,0,37188,5,19998,21134,11485,2012,18741,0,0,7779,6693,1371,7048,2998,0,4466,2638,2903,1389,2514,923,1280,1241,879,983,7,0,835,937,585,0,14,221,638,671,355,421,416,543,455,349,93,414,347,356,230,0,227,0,0,184,126,187,175,161,128,13,116,108,118,0,133,47,0,0,49,93,44,0,41,37,11,29,16,17,2,0,14,23,6,7,10,0,7,7,23,9,5,2,0,0,8,0,0,5,9,8,2,0,2,4,3,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,0,1,1,0,0
